,last_updated,github_link,app_id,category,repo,username,commits,contributors,created_at,forks,stars
0,2016-11-27,https://github.com/vector-im/vector-android,im.vector.alpha,Internet,vector-android,vector-im,2049.0,8.0,2015-12-17 15:18:05,73.0,251.0
1,2016-11-27,https://github.com/vanilla-music/vanilla,ch.blinkenlights.android.vanilla,Multimedia,vanilla,vanilla-music,1605.0,26.0,2012-09-22 17:04:41,156.0,333.0
2,2016-11-27,https://github.com/syncthing/syncthing-android,com.nutomic.syncthingandroid,Internet,syncthing-android,syncthing,1207.0,27.0,2014-02-22 17:15:19,108.0,643.0
3,2016-11-27,https://github.com/smithdtyler/prettygoodmusicplayer,com.smithdtyler.prettygoodmusicplayer,Multimedia,prettygoodmusicplayer,smithdtyler,248.0,8.0,2014-08-10 03:16:32,16.0,44.0
4,2016-11-27,https://github.com/phpsysinfo/psiandroid,com.phpsysinfo,System,psiandroid,phpsysinfo,247.0,7.0,2014-02-26 20:50:31,5.0,8.0
5,2016-11-27,https://github.com/nextcloud/android,com.nextcloud.android.beta,Internet,android,nextcloud,5096.0,60.0,2016-06-06 21:23:36,77.0,154.0
6,2016-11-27,https://github.com/konradrenner/kolabnotes-android,org.kore.kolabnotes.android,Writing,kolabnotes-android,konradrenner,453.0,5.0,2015-03-07 10:55:50,12.0,36.0
7,2016-11-27,https://github.com/hidroh/materialistic,io.github.hidroh.materialistic,Internet,materialistic,hidroh,1582.0,8.0,2015-01-22 04:03:54,247.0,1093.0
8,2016-11-27,https://github.com/haiwen/seadroid,com.seafile.seadroid2,Internet,seadroid,haiwen,2045.0,27.0,2012-11-28 10:54:37,157.0,238.0
9,2016-11-27,https://github.com/brarcher/loyalty-card-locker,protect.card_locker,Money,loyalty-card-locker,brarcher,71.0,7.0,2016-01-31 01:39:37,12.0,13.0
10,2016-11-27,https://github.com/amasciul/Drinks,fr.masciulli.drinks,Reading,Drinks,amasciul,701.0,3.0,2013-10-22 16:33:44,10.0,13.0
11,2016-11-27,https://github.com/SufficientlySecure/document-viewer,org.sufficientlysecure.viewer,Reading,document-viewer,SufficientlySecure,267.0,15.0,2013-07-03 10:05:08,73.0,190.0
12,2016-11-27,https://github.com/SimpleMobileTools/Simple-Flashlight,com.simplemobiletools.flashlight,System,Simple-Flashlight,SimpleMobileTools,188.0,9.0,2016-01-06 12:32:04,14.0,14.0
13,2016-11-27,https://github.com/SimpleMobileTools/Simple-Camera,com.simplemobiletools.camera,Multimedia,Simple-Camera,SimpleMobileTools,337.0,12.0,2016-04-12 20:26:05,25.0,47.0
14,2016-11-27,https://github.com/SimpleMobileTools/Simple-Calendar,com.simplemobiletools.calendar,System,Simple-Calendar,SimpleMobileTools,602.0,13.0,2016-01-26 21:02:54,21.0,36.0
15,2016-11-27,https://github.com/SecUSo/privacy-friendly-todo-list,org.secuso.privacyfriendlytodolist,Writing,privacy-friendly-todo-list,SecUSo,67.0,4.0,2016-04-28 12:48:31,8.0,8.0
16,2016-11-27,https://github.com/SecUSo/privacy-friendly-dicer,org.secuso.privacyfriendlydicer,Games,privacy-friendly-dicer,SecUSo,112.0,1.0,2015-08-31 17:26:36,2.0,8.0
17,2016-11-27,https://github.com/Sash0k/bluetooth-spp-terminal,ru.sash0k.bluetooth_terminal,Development,bluetooth-spp-terminal,Sash0k,32.0,2.0,2014-03-25 13:26:54,40.0,38.0
18,2016-11-27,https://github.com/GunshipPenguin/open_flood,com.gunshippenguin.openflood,Games,open_flood,GunshipPenguin,109.0,4.0,2016-01-17 01:18:20,17.0,35.0
19,2016-11-27,https://github.com/Freeyourgadget/Gadgetbridge,nodomain.freeyourgadget.gadgetbridge,Connectivity,Gadgetbridge,Freeyourgadget,2091.0,33.0,2015-01-05 23:19:03,140.0,1008.0
20,2016-11-27,https://github.com/AdAway/AdAway,org.adaway,System,AdAway,AdAway,718.0,19.0,2012-07-15 15:34:47,190.0,834.0
21,2016-11-26,https://github.com/msal/muzei-nationalgeographic,de.msal.muzei.nationalgeographic,Multimedia,muzei-nationalgeographic,msal,35.0,2.0,2014-02-20 16:48:28,3.0,9.0
22,2016-11-26,https://github.com/materialos/CM12-Theme,com.materialos.cm.theme,Theming,CM12-Theme,materialos,169.0,4.0,2015-08-13 03:32:06,25.0,36.0
23,2016-11-26,https://github.com/marunjar/anewjkuapp,org.voidsink.anewjkuapp,Science & Education,anewjkuapp,marunjar,796.0,3.0,2014-05-03 09:07:08,4.0,7.0
24,2016-11-26,https://github.com/lllllT/AtmosphereLogger,org.tamanegi.atmosphere,Science & Education,AtmosphereLogger,lllllT,44.0,1.0,2011-10-15 11:26:56,3.0,8.0
25,2016-11-26,https://github.com/ligi/SCR,org.ligi.scr,Time,SCR,ligi,104.0,2.0,2014-12-03 21:02:56,3.0,8.0
26,2016-11-26,https://github.com/ldionmarcil/OSRSHelper,com.infonuascape.osrshelper,Games,OSRSHelper,ldionmarcil,63.0,2.0,2014-09-09 03:24:29,2.0,7.0
27,2016-11-26,https://github.com/kraigs-android/kraigsandroid,com.angrydoughnuts.android.alarmclock,Time,kraigsandroid,kraigs-android,1.0,1.0,2015-11-01 21:01:24,9.0,8.0
28,2016-11-26,https://github.com/klausw/hackerskeyboard,org.pocketworkstation.pckeyboard,Writing,hackerskeyboard,klausw,615.0,17.0,2016-01-22 21:40:54,72.0,175.0
30,2016-11-26,https://github.com/erickok/transdroid-search,org.transdroid.search,Internet,transdroid-search,erickok,103.0,13.0,2013-06-22 11:26:42,43.0,61.0
31,2016-11-26,https://github.com/crysxd/Studiportal-Checker,de.hfu.funfpunktnull,Science & Education,Studiportal-Checker,crysxd,2.0,2.0,2014-07-17 09:32:53,1.0,6.0
32,2016-11-26,https://github.com/bpeel/prevo,uk.co.busydoingnothing.prevo,Reading,prevo,bpeel,201.0,1.0,2015-04-28 14:12:41,2.0,8.0
33,2016-11-26,https://github.com/SecUSo/privacy-friendly-notes,org.secuso.privacyfriendlynotes,Writing,privacy-friendly-notes,SecUSo,122.0,3.0,2016-05-03 21:49:16,3.0,12.0
34,2016-11-26,https://github.com/SecUSo/privacy-friendly-memo-game,org.secuso.privacyfriendlymemory,Games,privacy-friendly-memo-game,SecUSo,65.0,4.0,2016-05-03 21:51:37,5.0,3.0
35,2016-11-26,https://github.com/SecUSo/privacy-friendly-dice-game,org.secuso.privacyfriendlyyahtzeedicer,Games,privacy-friendly-dice-game,SecUSo,95.0,2.0,2016-01-21 11:18:40,2.0,1.0
37,2016-11-23,https://github.com/scoute-dich/HHSMoodle,de.baumann.hhsmoodle,Time,HHSMoodle,scoute-dich,31.0,1.0,2016-08-08 21:12:31,3.0,4.0
38,2016-11-23,https://github.com/raatmarien/red-moon,com.jmstudios.redmoon,System,red-moon,raatmarien,414.0,38.0,2016-03-16 11:37:25,22.0,157.0
39,2016-11-23,https://github.com/ligi/SurvivalManual,org.ligi.survivalmanual,Reading,SurvivalManual,ligi,143.0,2.0,2016-09-16 18:47:11,6.0,27.0
40,2016-11-23,https://github.com/ccrama/Slide,me.ccrama.redditslide,Reading,Slide,ccrama,3218.0,56.0,2015-10-01 23:21:26,155.0,616.0
41,2016-11-23,https://github.com/alt236/USB-Device-Info---Android,aws.apps.usbDeviceEnumerator,System,USB-Device-Info---Android,alt236,58.0,2.0,2011-10-27 18:06:16,39.0,66.0
42,2016-11-23,https://github.com/SimpleMobileTools/Simple-Gallery,com.simplemobiletools.gallery,Multimedia,Simple-Gallery,SimpleMobileTools,902.0,17.0,2016-02-16 21:17:13,33.0,62.0
43,2016-11-23,https://github.com/SimpleMobileTools/Simple-File-Manager,com.simplemobiletools.filemanager,System,Simple-File-Manager,SimpleMobileTools,390.0,10.0,2016-07-12 20:06:21,19.0,27.0
44,2016-11-23,https://github.com/Diaspora-for-Android/dandelion,com.github.dfa.diaspora_android,Internet,dandelion,Diaspora-for-Android,394.0,7.0,2016-03-03 16:46:23,7.0,24.0
45,2016-11-22,https://github.com/guardianproject/PixelKnot,info.guardianproject.pixelknot,Security,PixelKnot,guardianproject,128.0,7.0,2012-12-08 22:45:28,22.0,46.0
47,2016-11-22,https://github.com/enricocid/Battery-Live,com.enrico.earthquake.batterysimplysolid,Theming,Battery-Live,enricocid,37.0,4.0,2016-11-09 18:56:46,4.0,7.0
48,2016-11-22,https://github.com/aaronjwood/PortAuthority,com.aaronjwood.portauthority,Security,PortAuthority,aaronjwood,775.0,8.0,2014-12-12 03:50:45,13.0,36.0
49,2016-11-22,https://github.com/SimpleMobileTools/Simple-Notes,com.simplemobiletools.notes,System,Simple-Notes,SimpleMobileTools,310.0,11.0,2016-02-13 20:00:54,16.0,19.0
50,2016-11-22,https://github.com/SecUSo/privacy-friendly-shopping-list,privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist,Multimedia,privacy-friendly-shopping-list,SecUSo,372.0,4.0,2016-04-28 12:49:16,5.0,7.0
51,2016-11-21,https://github.com/zouroboros/filmchecker,me.murks.filmchecker,Multimedia,filmchecker,zouroboros,31.0,1.0,2016-09-04 11:42:15,1.0,0.0
52,2016-11-21,https://github.com/w84death/Tanks-of-Freedom,in.p1x.tanks_of_freedom,Games,Tanks-of-Freedom,w84death,1657.0,16.0,2015-01-20 17:50:38,50.0,282.0
53,2016-11-21,https://github.com/urandom/gearshift,org.sugr.gearshift,Internet,gearshift,urandom,963.0,7.0,2014-11-13 19:31:36,13.0,51.0
54,2016-11-21,https://github.com/ultrafunk/netinfo,com.ultrafunk.network_info,Theming,netinfo,ultrafunk,44.0,2.0,2014-10-24 21:23:26,3.0,6.0
