,last_updated,github_link,app_id,category,repo,username,commits,contributors,created_at,forks,stars
0,2016-11-27,https://github.com/vector-im/vector-android,im.vector.alpha,Internet,vector-android,vector-im,1933,8,2015-12-17 15:18:05,69,213
1,2016-11-27,https://github.com/vanilla-music/vanilla,ch.blinkenlights.android.vanilla,Multimedia,vanilla,vanilla-music,1543,26,2012-09-22 17:04:41,152,326
2,2016-11-27,https://github.com/syncthing/syncthing-android,com.nutomic.syncthingandroid,Internet,syncthing-android,syncthing,1173,27,2014-02-22 17:15:19,105,624
3,2016-11-27,https://github.com/smithdtyler/prettygoodmusicplayer,com.smithdtyler.prettygoodmusicplayer,Multimedia,prettygoodmusicplayer,smithdtyler,248,8,2014-08-10 03:16:32,15,44
4,2016-11-27,https://github.com/phpsysinfo/psiandroid,com.phpsysinfo,System,psiandroid,phpsysinfo,247,7,2014-02-26 20:50:31,4,8
5,2016-11-27,https://github.com/nextcloud/android,com.nextcloud.android.beta,Internet,android,nextcloud,5043,60,2016-06-06 21:23:36,71,135
6,2016-11-27,https://github.com/konradrenner/kolabnotes-android,org.kore.kolabnotes.android,Writing,kolabnotes-android,konradrenner,453,5,2015-03-07 10:55:50,11,33
7,2016-11-27,https://github.com/hidroh/materialistic,io.github.hidroh.materialistic,Internet,materialistic,hidroh,1562,7,2015-01-22 04:03:54,238,1055
8,2016-11-27,https://github.com/haiwen/seadroid,com.seafile.seadroid2,Internet,seadroid,haiwen,2045,27,2012-11-28 10:54:37,156,236
9,2016-11-27,https://github.com/brarcher/loyalty-card-locker,protect.card_locker,Money,loyalty-card-locker,brarcher,61,6,2016-01-31 01:39:37,10,14
10,2016-11-27,https://github.com/amasciul/Drinks,fr.masciulli.drinks,Reading,Drinks,amasciul,700,3,2013-10-22 16:33:44,9,13
11,2016-11-27,https://github.com/SufficientlySecure/document-viewer,org.sufficientlysecure.viewer,Reading,document-viewer,SufficientlySecure,267,15,2013-07-03 10:05:08,72,186
12,2016-11-27,https://github.com/SimpleMobileTools/Simple-Flashlight,com.simplemobiletools.flashlight,System,Simple-Flashlight,SimpleMobileTools,187,9,2016-01-06 12:32:04,11,9
13,2016-11-27,https://github.com/SimpleMobileTools/Simple-Camera,com.simplemobiletools.camera,Multimedia,Simple-Camera,SimpleMobileTools,325,12,2016-04-12 20:26:05,21,39
14,2016-11-27,https://github.com/SimpleMobileTools/Simple-Calendar,com.simplemobiletools.calendar,System,Simple-Calendar,SimpleMobileTools,550,12,2016-01-26 21:02:54,17,28
15,2016-11-27,https://github.com/SecUSo/privacy-friendly-todo-list,org.secuso.privacyfriendlytodolist,Writing,privacy-friendly-todo-list,SecUSo,63,2,2016-04-28 12:48:31,2,5
16,2016-11-27,https://github.com/SecUSo/privacy-friendly-dicer,org.secuso.privacyfriendlydicer,Games,privacy-friendly-dicer,SecUSo,112,1,2015-08-31 17:26:36,1,7
17,2016-11-27,https://github.com/Sash0k/bluetooth-spp-terminal,ru.sash0k.bluetooth_terminal,Development,bluetooth-spp-terminal,Sash0k,32,2,2014-03-25 13:26:54,38,37
18,2016-11-27,https://github.com/GunshipPenguin/open_flood,com.gunshippenguin.openflood,Games,open_flood,GunshipPenguin,109,4,2016-01-17 01:18:20,16,34
19,2016-11-27,https://github.com/Freeyourgadget/Gadgetbridge,nodomain.freeyourgadget.gadgetbridge,Connectivity,Gadgetbridge,Freeyourgadget,1945,31,2015-01-05 23:19:03,111,624
20,2016-11-27,https://github.com/AdAway/AdAway,org.adaway,System,AdAway,AdAway,718,19,2012-07-15 15:34:47,184,817
21,2016-11-26,https://github.com/msal/muzei-nationalgeographic,de.msal.muzei.nationalgeographic,Multimedia,muzei-nationalgeographic,msal,35,2,2014-02-20 16:48:28,2,9
22,2016-11-26,https://github.com/materialos/CM12-Theme,com.materialos.cm.theme,Theming,CM12-Theme,materialos,169,4,2015-08-13 03:32:06,23,34
23,2016-11-26,https://github.com/marunjar/anewjkuapp,org.voidsink.anewjkuapp,Science & Education,anewjkuapp,marunjar,791,3,2014-05-03 09:07:08,3,7
24,2016-11-26,https://github.com/lllllT/AtmosphereLogger,org.tamanegi.atmosphere,Science & Education,AtmosphereLogger,lllllT,44,1,2011-10-15 11:26:56,1,7
25,2016-11-26,https://github.com/ligi/SCR,org.ligi.scr,Time,SCR,ligi,95,2,2014-12-03 21:02:56,2,6
