,last_updated,github_link,app_id,category,repo,username,commits,contributors,created_at,forks,stars
53,2016-11-21,https://github.com/urandom/gearshift,org.sugr.gearshift,Internet,gearshift,urandom,959,7,2014-11-13 19:31:36,12,51
54,2016-11-21,https://github.com/ultrafunk/netinfo,com.ultrafunk.network_info,Theming,netinfo,ultrafunk,44,2,2014-10-24 21:23:26,2,6
55,2016-11-21,https://github.com/termux/termux-widget,com.termux.widget,System,termux-widget,termux,28,1,2015-12-19 22:01:00,9,21
56,2016-11-21,https://github.com/termux/termux-styling,com.termux.styling,Development,termux-styling,termux,47,3,2015-12-19 22:15:28,7,32
57,2016-11-21,https://github.com/shkcodes/Lyrically,com.shkmishra.lyrically,Multimedia,Lyrically,shkcodes,41,2,2016-10-26 14:35:55,6,12
58,2016-11-21,https://github.com/segler-alex/RadioDroid,net.programmierecke.radiodroid2,Multimedia,RadioDroid,segler-alex,264,9,2013-01-13 13:59:17,17,36
59,2016-11-21,https://github.com/quaap/AudioMeter,com.quaap.audiometer,Multimedia,AudioMeter,quaap,61,3,2016-11-18 13:49:51,2,3
60,2016-11-21,https://github.com/osmandapp/Osmand,net.osmand.plus,Navigation,Osmand,osmandapp,29076,323,2011-01-15 19:59:44,520,963
61,2016-11-21,https://github.com/opacapp/opacclient,de.geeksfactory.opacclient,Reading,opacclient,opacapp,3446,17,2012-06-17 21:32:08,27,63
62,2016-11-21,https://github.com/nextcloud/android,com.nextcloud.client,Internet,android,nextcloud,5055,61,2016-06-06 21:23:36,75,146
63,2016-11-21,https://github.com/ligi/PassAndroid,org.ligi.passandroid,Reading,PassAndroid,ligi,1372,5,2013-01-23 15:34:45,49,234
64,2016-11-21,https://github.com/khertan/ForRunners,net.khertan.forrunners,Sports & Health,ForRunners,khertan,161,2,2015-10-10 07:29:24,7,13
65,2016-11-21,https://github.com/k9mail/k-9,com.fsck.k9,Internet,k-9,k9mail,6572,150,2011-02-04 02:40:00,1483,2833
66,2016-11-21,https://github.com/inorichi/tachiyomi,eu.kanade.tachiyomi,Multimedia,tachiyomi,inorichi,1019,27,2015-10-07 09:51:12,83,397
67,2016-11-21,https://github.com/gsimon75/compass-keyboard,org.dyndns.fules.ck,Writing,compass-keyboard,gsimon75,18,1,2016-02-21 18:26:52,1,0
68,2016-11-21,https://github.com/fr3ts0n/StageFever,com.fr3ts0n.stagefever,Multimedia,StageFever,fr3ts0n,20,1,2015-05-17 11:22:03,5,2
69,2016-11-21,https://github.com/caarmen/scrumchatter,ca.rmen.android.scrumchatter,Time,scrumchatter,caarmen,553,2,2013-06-16 21:53:28,4,7
70,2016-11-21,https://github.com/caarmen/network-monitor,ca.rmen.android.networkmonitor,Connectivity,network-monitor,caarmen,910,5,2013-05-17 23:23:42,10,21
71,2016-11-21,https://github.com/SecUSo/privacy-friendly-torchlight,com.secuso.torchlight2,System,privacy-friendly-torchlight,SecUSo,22,3,2015-09-28 09:12:10,4,9
72,2016-11-21,https://github.com/SecUSo/privacy-friendly-activity-tracker,org.secuso.privacyfriendlyactivitytracker,Sports & Health,privacy-friendly-activity-tracker,SecUSo,155,4,2016-04-28 12:51:16,6,7
73,2016-11-21,https://github.com/MarcusWolschon/osmeditor4android,de.blau.android,Navigation,osmeditor4android,MarcusWolschon,1108,6,2015-03-21 07:25:43,19,64
74,2016-11-21,https://github.com/AnySoftKeyboard/AnySoftKeyboard,com.menny.android.anysoftkeyboard,Writing,AnySoftKeyboard,AnySoftKeyboard,3191,17,2012-04-18 12:38:01,293,386
75,2016-11-21,https://github.com/AmericanRedCross/OpenMapKitAndroid,org.redcross.openmapkit,Navigation,OpenMapKitAndroid,AmericanRedCross,482,6,2014-12-17 21:10:03,20,105
76,2016-11-18,https://github.com/tgwizard/sls,com.adam.aslfms,Multimedia,sls,tgwizard,561,30,2012-02-06 20:55:06,78,276
77,2016-11-18,https://github.com/koelleChristian/trickytripper,de.koelle.christian.trickytripper,Money,trickytripper,koelleChristian,266,6,2012-01-13 18:03:45,8,14
78,2016-11-18,https://github.com/billthefarmer/tuner,org.billthefarmer.tuner,Multimedia,tuner,billthefarmer,105,2,2013-02-09 21:13:09,21,38
79,2016-11-18,https://github.com/abaker/tasks,org.tasks,Writing,tasks,abaker,3851,27,2013-07-18 19:44:38,167,387
80,2016-11-18,https://github.com/Utyff/pMetro,com.utyf.pmetro,Navigation,pMetro,Utyff,124,2,2015-08-08 16:10:03,1,5
81,2016-11-18,https://github.com/TobiasBielefeld/Simple-Solitaire,de.tobiasbielefeld.solitaire,Games,Simple-Solitaire,TobiasBielefeld,43,2,2016-10-27 16:51:18,3,1
82,2016-11-17,https://github.com/vitas/beaconloc,com.samebits.beacon.locator,System,beaconloc,vitas,53,1,2015-12-18 11:48:25,6,12
83,2016-11-17,https://github.com/toulibre/cdl-companion-android,org.toulibre.capitoledulibre,Time,cdl-companion-android,toulibre,244,2,2015-10-31 09:04:53,0,1
84,2016-11-17,https://github.com/raulhaag/MiMangaNu,ar.rulosoft.mimanganu,Reading,MiMangaNu,raulhaag,753,10,2014-12-21 22:14:07,27,68
85,2016-11-17,https://github.com/opengemara/shiurim,org.opengemara.shiurim,Reading,shiurim,opengemara,19,1,2016-05-18 05:27:01,0,0
86,2016-11-17,https://github.com/mofosyne/NFCMessageBoard,com.briankhuu.nfcmessageboard,Connectivity,NFCMessageBoard,mofosyne,88,2,2015-04-03 05:15:39,6,14
87,2016-11-17,https://github.com/maxpower47/PinDroid,com.pindroid,Internet,PinDroid,maxpower47,912,6,2010-12-17 13:42:18,50,208
88,2016-11-17,https://github.com/farmerbb/Taskbar,com.farmerbb.taskbar,System,Taskbar,farmerbb,336,3,2016-08-05 00:41:01,7,25
89,2016-11-17,https://github.com/czlee/debatekeeper,net.czlee.debatekeeper,Time,debatekeeper,czlee,606,4,2013-07-27 01:47:22,5,4
90,2016-11-17,https://github.com/antennapod/AntennaPod,de.danoeh.antennapod,Multimedia,AntennaPod,antennapod,3649,68,2012-07-31 10:25:08,477,1423
91,2016-11-17,https://github.com/Xlythe/android_packages_apps_Calculator,com.xlythe.calculator.material,Science & Education,android_packages_apps_Calculator,Xlythe,870,18,2012-06-16 19:33:18,85,153
92,2016-11-17,https://github.com/Xlythe/android_packages_apps_Calculator,com.android2.calculator3,Science & Education,android_packages_apps_Calculator,Xlythe,870,18,2012-06-16 19:33:18,85,153
93,2016-11-17,https://github.com/VREMSoftwareDevelopment/WifiAnalyzer,com.vrem.wifianalyzer,Connectivity,WifiAnalyzer,VREMSoftwareDevelopment,728,9,2015-12-09 23:37:23,61,188
94,2016-11-17,https://github.com/Sensirion/SmartGadget-Android,com.sensirion.smartgadget,Connectivity,SmartGadget-Android,Sensirion,56,3,2015-04-30 09:26:19,2,14
95,2016-11-17,https://github.com/DaylightingSociety/WhereAreTheEyes,org.daylightingsociety.wherearetheeyes,Security,WhereAreTheEyes,DaylightingSociety,16,1,2016-10-22 18:11:02,7,167
96,2016-11-15,https://github.com/kckrinke/onetimepad,com.onest8.onetimepad,Security,onetimepad,kckrinke,141,5,2016-08-19 19:14:28,5,8
97,2016-11-15,https://github.com/fvasco/pinpoi,io.github.fvasco.pinpoi,Navigation,pinpoi,fvasco,106,1,2016-01-04 13:20:26,1,11
98,2016-11-14,https://github.com/zoff99/zanavi,com.zoffcc.applications.zanavi,Navigation,zanavi,zoff99,65,1,2015-02-01 19:58:08,3,3
99,2016-11-14,https://github.com/wistein/TransektCount,com.wmstein.transektcount,Science & Education,TransektCount,wistein,80,2,2016-03-25 01:10:57,1,0
100,2016-11-14,https://github.com/scoute-dich/PDFCreator,de.baumann.pdfcreator,Writing,PDFCreator,scoute-dich,33,3,2016-07-19 17:34:15,22,55
101,2016-11-14,https://github.com/Neamar/KISS,fr.neamar.kiss,Theming,KISS,Neamar,1633,73,2012-10-02 16:03:43,118,333
102,2016-11-13,https://github.com/siacs/VoiceRecorder,eu.siacs.conversations.voicerecorder,Internet,VoiceRecorder,siacs,14,3,2015-06-29 13:47:58,9,15
